42/25,None
42/26,Leather Bandana
42/27,Sallet
42/28,Shinobi Hachigane
42/29,Iron Mask
42/30,Lizard Helm
42/31,Raptor Helm
42/32,Zunari Kabuto
42/33,Royal Squire's Helm
42/34,Royal Knight's Bascinet
42/35,Padded Cap
42/36,Bronze Cap
42/37,Bone Mask
42/38,Hachimaki
42/39,Wool Hat
42/40,Tactician Magician's Hat
42/41,Circlet
42/42,Headgear
42/43,Darksteel Armet
42/44,Red Cap
42/45,Green Beret
42/46,Iron Musketeer's Armet
42/47,Centurion's Visor
42/48,Gavial Mask
42/49,Faceguard
42/50,Mythril Sallet
42/51,Blue Ribbon
42/52,Purple Ribbon
42/53,Green Ribbon
42/54,Black Ribbon
42/55,Scarlet Ribbon
93/106,Fighter's Mask (WAR AF1)
93/107,Temple Crown (MNK AF1)
93/108,Healer's Cap (WHM AF1)
93/109,Wizard's Petasos (BLM AF1)
93/110,Warlock's Chapeau (RDM AF1)
93/111,Rogue's Bonnet (THF AF1)
96/34,Gallant Coronet (PLD AF1)
96/35,Chaos Burgeonet (DRK AF1)
96/36,Beast Helm (BST AF1)
96/37,Choral Roundlet (BRD AF1)
96/38,Hunter's Beret (RNG AF1)
98/120,Myochin Kabuto (SAM AF1)
98/121,Ninja Hatsuburi (NIN AF1)
98/122,Drachen Armet (DRG AF1)
98/123,Evoker's Horn (SMN AF1)
162/61,Magus Keffiyeh (BLU AF1)
162/62,Corsair's Tricorne (COR AF1)
162/63,Puppetry Taj (PUP AF1)
198/60,Dancer's Tiara (DNC AF1)
198/61,Scholar's Mortarboard (SCH AF1)
120/100,Coeurl Mask
120/101,Adaman Barbuta
120/102,Coral Cap
120/103,Noble's Crown
120/104,Celata
120/105,Arhat's Jinpachi
120/106,Dragon Mask
124/64,Rasetsu Jinpachi
124/65,Crimson Mask
124/66,Adaman Celata
124/67,Ogre Mask
124/68,Koenig Schaller
125/51,War Beret
126/82,Pumpkin Head
126/83,Roshi Jinpachi
126/84,Genbu's Kabuto
126/85,Hecatomb Cap
126/86,Errant Hat
129/61,Tiger Mask
129/62,Wyvern Helm
129/63,Demon Helm
129/64,Shura Zunari Kabuto
129/65,Zenith Crown
129/66,Carapace Helm
129/67,Dusk Mask
129/68,Dragon Cap
133/10,Warrior's Mask (WAR AF2)
133/11,Melee Crown (MNK AF2)
133/12,Cleric's Cap (WHM AF2)
133/13,Sorcerer's Petasos (BLM AF2)
133/14,Duelist's Chapeau (RDM AF2)
133/15,Assassin's Bonnet (THF AF2)
133/16,Valor Coronet (PLD AF2)
133/17,Abyss Burgeonet (DRK AF2)
133/18,Monster Helm (BST AF2)
133/19,Bard's Roundlet (BRD AF2)
133/20,Scout's Beret (RNG AF2)
133/21,Saotome Kabuto (SAM AF2)
133/22,Koga Hatsuburi (NIN AF2)
133/23,Wyrm Armet (DRG AF2)
133/24,Summoner's Horn (SMN AF2)
214/25,Mirage Keffiyeh (BLU AF2)
214/26,Commodore Tricorne (COR AF2)
214/27,Pantin Taj (PUP AF2)
217/125,Etoile Tiara (DNC AF2)
217/85,Argute Mortarboard (SCH AF2)
133/25,Scorpion Helm
133/26,Austere Hat
133/27,Lilac Corsage
137/95,Panther Mask
137/96,Opo-opo Crown
137/97,Magnifying Specs.
137/98,Protective Specs.
137/99,Chef's Hat
137/100,Shaded Specs.
144/55,Garish Crown
144/56,Seer's Crown
144/57,Hydra Beret
144/58,Noct Beret 
145/115,Hydra Tiara
145/116,Shade Tiara
145/117,Bison Warbonnet
145/118,Sha'ir Turban
146/50,Barone Zucchetto
146/89,Igqira Tiara
148/23,Eisenschaller
149/32,Lord's Armet
149/111,Dream Hat
150/54,Hachiman Jinpachi
151/52,Wise Cap
152/71,Orc Helm
152/72,Yagudo Headgear
152/54,Goblin Coif
152/73,Quadav Barbut
153/23,Unicorn Cap
153/60,Trader's Chapeau
154/67,Alumine Salade
154/127,Black Sallet
155/70,Maat's Cap
155/71,Mandragora Beret
155/72,Guide Beret
156/90,Stars Cap
156/106,Laurel Crown
157/93,Nashira Turban
158/34,Homam Zucchetto
158/96,Trader's Chapeau (Black)
159/3,Crow Beret
153/119,Hydra Moufles
160/71,Hydra Cap
163/33,Sipahi Turban
163/34,Jaridah Khud
166/24,Amir Puggaree
166/25,Pahluwan Qalansuwa
166/26,Yigit Turban
170/110,Witch Hat
174/86,Ares's Mask
174/87,Skadi's Visor
175/114,Usukane Somen
175/115,Marduk's Tiara
175/116,Morrigan's Coronal
182/18,Egg helm 
182/113,Goliard Chapeau 
182/17,Denali Bonnet
182/112,Askar Zucchetto 
185/100,Shadow Helm
186/7,Shadow Hat
186/6,Valhalla Helm
186/116,Glory Crown
186/117,Moogle Cap
186/118,Nomad Cap
187/61,Dandy Spectacles
187/124,Mamool Ja Helm
187/125,Lamia Garland
187/126,Troll Coif
187/127,Qiqirn Hood
199/58,Cobra Unit Cap
200/92,Cobra Unit Cloche
196/122,Iron Ram Sallet
198/125,Fourth Division Haube
198/124,Bastokan Armor
201/31,Sol Cap
201/32,Lunar Cap
210/39,Viking Helm
219/70,Eyepatch
220/4,Spelunker's Helm
223/63,Jester's Cap
224/44,Champion's Galea
224/59,Anwing Salade
224/45,Selenian Cap
225/68,Snow Bunny Hat
236/55,Ebon Celata
236/56,Furia Celata
236/57,Ebur Celata
236/58,Ebon Helm
236/59,Furia Helm
236/60,Ebur Helm
236/61,Ebon Galea
236/62,Furia Galea
236/63,Ebur Galea
236/64,Ebon Armet
236/65,Furia Armet
236/66,Ebur Armet
228/72,Ebon Mask
228/73,Furia Mask
228/74,Ebur Mask
228/75,Ebon Visor
228/76,Furia Visor
228/77,Ebur Visor
228/78,Shikkoku Hatsuburi
228/79,Shinku Hatsuburi
228/80,Ginhaku Hatsuburi
228/81,Ebon Headgear
230/0,Furia Headgear
230/1,Ebur Headgear
233/1,Ebon Tam
233/2,Furia Tam
233/3,Ebur Tam
233/4,Ebon Hat
233/5,Furia Hat
233/6,Ebur Hat
233/7,Ebon Caubeen
233/8,Furia Caubeen
233/9,Ebur Caubeen
233/10,Ebon Beret
233/11,Furia Beret
233/12,Ebur Beret
238/102,Chocobo Beret
238/121,Nocturnus Helm
248/22,Hero's Galea
248/23,Tokon Hachimaki
248/24,Perle Salade
248/25,Teal Chapeau
248/26,Aurore Beret
241/34,Goetia Petasos (BLM AF3)
241/35,Creed Armet (PLD AF3)
244/17,Ravager's Mask (WAR AF3)
244/18,Estoqueur's Chappel (RDM AF3)
252/18,Tantra Crown (MNK AF3)
252/19,Raider's Bonnet (THF AF3)
252/20,Bale Burgeonet (DRK AF3)
252/21,Ferine Cabasset (BST AF3)
252/22,Aoidos' Calot (BRD AF3)
252/23,Unkai Kabuto (SAM AF3)
252/24,Iga Zukin (NIN AF3)
252/25,Lancer's Mezail (DRG AF3)
252/26,Mavi Kavuk (BLU AF3)
252/27,Navarch's Tricorne (COR AF3)
252/28,Cirque Capello (PUP AF3)
252/29,Savant's Bonnet (SCH AF3)
254/33,Orison Cap (WHM AF3)
254/89,Charis Tiara (DNC AF3)
256/47,Sylvan Gapette (RNG AF3)
256/48,Caller's Horn (SMN AF3)
261/78,Twilight Helm
263/19,Cuauhtli Headpiece
263/20,Fazheluo Helm
263/61,Hyksos Khat
263/124,Destrier Beret
264/45,Charity Cap
266/14,Ocelomeh Headpiece
266/15,Nefer Khat
266/16,Mekira-oto
270/84,Smilodon Mask
270/85,Gallian Helm
270/86,Brego Helm
270/87,Snowman Cap
271/84,Ogier's Helm
271/85,Athos's Chapeau
271/86,Rubeus Bandeau
271/87,Praeco Beret
277/33,Drachenhorn
277/34,Hyaline Hat
277/113,Kheper Bonnet
277/114,Paean Mitra
277/115,Auspex Coif
277/116,Hrafn Coronet
277/117,Tenryu Somen
282/15,Decennial Tiara
282/62,Dux Visor
282/63,Chelona Hat
286/32,Moogle Masque